Store,Date,Orders,Sales,Commission,Net Payout,Platform,Avg Order Value
GULA - Valencia Ruzafa,2026-04-30,2,41.7,-9.83,31.87,Uber Eats,20.85
GULA - Sevilla,2026-04-30,1,32.9,-5.51,17.82,Uber Eats,32.9
GULA - Valencia Ruzafa,2026-05-01,10,314.99999999999994,-68.24000000000001,229.36,Uber Eats,31.499999999999993
GULA - Móstoles,2026-05-01,1,0.0,0.0,-3.53,Uber Eats,0.0
GULA - Sevilla,2026-05-01,3,59.3,-9.65,13.809999999999999,Uber Eats,19.766666666666666
GULA - Cartagena,2026-05-01,7,187.60000000000002,-36.42,115.54999999999998,Uber Eats,26.800000000000004
GULA - VAL - Calle Cadis,2026-05-01,5,153.39999999999998,33.72,119.67999999999999,Glovo,30.679999999999996
GULA - CAA - Calle Jimenez de la Espada,2026-05-01,24,900.62,253.64999999999995,646.97,Glovo,37.52583333333333
GULA - SEV - Calle Chucena,2026-05-01,4,127.39999999999998,25.259999999999998,102.13999999999999,Glovo,31.849999999999994
GULA - Valencia Ruzafa,2026-05-02,9,233.29999999999998,-50.84,170.09999999999997,Uber Eats,25.92222222222222
GULA - Móstoles,2026-05-02,1,0.0,0.0,-5.18,Uber Eats,0.0
GULA - Sevilla,2026-05-02,2,22.4,-3.7,-7.890000000000001,Uber Eats,11.2
GULA - Cartagena,2026-05-02,4,119.9,-20.63,50.16,Uber Eats,29.975
GULA - VAL - Calle Cadis,2026-05-02,13,339.4,72.60000000000001,266.8,Glovo,26.107692307692307
GULA - CAA - Calle Jimenez de la Espada,2026-05-02,13,451.4799999999999,115.31999999999998,336.15999999999997,Glovo,34.72923076923076
GULA - SEV - Calle Chucena,2026-05-02,13,344.54999999999995,69.99,274.55999999999995,Glovo,26.50384615384615
GULA - Valencia Ruzafa,2026-05-03,9,270.40000000000003,-58.43000000000001,194.13000000000002,Uber Eats,30.044444444444448
GULA - Móstoles,2026-05-03,8,242.45999999999998,-51.34,164.79,Uber Eats,30.307499999999997
GULA - Sevilla,2026-05-03,5,162.7,-28.009999999999998,88.22,Uber Eats,32.54
GULA - Cartagena,2026-05-03,8,231.8,-39.34,109.4,Uber Eats,28.975
GULA - VAL - Calle Cadis,2026-05-03,13,418.99999999999994,109.49999999999999,309.5,Glovo,32.230769230769226
GULA - CAA - Calle Jimenez de la Espada,2026-05-03,21,695.31,172.86,522.4499999999999,Glovo,33.11
GULA - SEV - Calle Chucena,2026-05-03,6,150.20000000000002,35.88,114.32000000000001,Glovo,25.033333333333335
GULA - MOS - Calle Río Segura,2026-05-03,3,65.5,14.81,50.69,Glovo,21.833333333333332
GULA - Valencia Ruzafa,2026-05-04,1,0.0,0.0,-1.74,Uber Eats,0.0
GULA - Móstoles,2026-05-04,2,54.1,-9.72,30.08,Uber Eats,27.05
GULA - Sevilla,2026-05-04,1,0.0,0.0,-17.47,Uber Eats,0.0
