Date,Sales,Orders,Commission,Net Payout
2026-04-30,74.6,3,-15.34,49.69
2026-05-01,1743.3200000000002,54,198.31999999999994,1223.98
2026-05-02,1511.03,55,182.73999999999998,1084.71
2026-05-03,2237.37,73,155.93,1553.4999999999998
2026-05-04,135.0,8,12.78,34.30000000000001
2026-05-05,524.3000000000001,26,87.92999999999999,278.46000000000004
2026-05-06,1229.3400000000001,38,89.42,842.6200000000001
2026-05-07,940.74,37,17.750000000000004,675.82
2026-05-08,1371.6899999999998,44,165.23,951.77
2026-05-09,2198.01,83,22.669999999999998,1493.7800000000002
2026-05-10,2075.37,80,66.84999999999997,1420.3099999999997
2026-05-11,0.0,5,0.0,-305.64
