Dish,Total,Sales
Pleasure For 2 Combo,52,"1,765.20"
Cheese Bacon,36,512.70
Pollo Frito Al Estilo GULA,29,287.10
Nuestras Fritas,27,100.50
Fritas Trufadas,23,149.50
Golden Slider,20,225.80
Fritas Bacon Queso,16,105.80
GULA Cheeseburger,13,170.50
The Sinner Combo,12,197.10
The Trufa Corp,10,149.00
The Pope'S Burger,8,103.20
Fritas Buffalo Ranch,7,54.30
The Sinner,7,97.30
Pleasure For 2 Combo ,7,241.80
The Trufa Corp Chicken,7,103.10
Spicy V,6,100.20
Salsa Queen,5,7.50
Fritas Bacon Queso ,4,26.00
Pollo Frito Al Estilo GULA ,4,39.60
Cheese Jr.,3,20.85
Tarta de Lotus,3,17.40
Alitas BBK,3,25.50
Fritas Trufadas ,2,13.00
Buffalo Ranch,2,27.80
Salsa GULA,2,3.60
Salsa Bacon,2,3.60
Salsa Trufada,2,3.60
Salsa BBK,2,3.00
Salsa Chile Chipotle,2,3.00
Cheescake de Fresa,2,11.60
Cheescake de Fresa ,1,5.80
Aguila Sin Filtrar,1,3.30
The Trufa Corp Chicken ,1,13.90
Cheesecake con cereales 3 chocolates,1,3.50
Brownie,1,5.80
The Trufa Corp ,1,21.40
Coca-Cola Zero Azúcar Zero Cafeína lata 330ml.,1,2.80
Coca-Cola Sabor Original lata 330ml.,1,2.80
Tarta de Oreo ,1,5.80
"Agua Mineral Natural Solán de Cabras Botella 0,5L",1,2.00
Cheese Bacon ,1,13.90
The Golden Bite Combo,1,21.90
Tarta de Oreo,1,5.80
Coca-Cola Zero Azúcar lata 330ml.,1,2.80
The Sinner Combo ,1,15.90
