Restaurant name,Order ID,Store ID,Delivery Type,Payment type,Payment method,Is Pro Order,Restaurant Address,Order status,Order received at,Has Complaint?,Complaint Reason,Cancelled at,Cancellation reason,Cancellation owner,Subtotal,Service fee,Packaging charges,Minimum order value fee,Vendor Refunds,Customer Fee Total,Tax Charge,Online Payment Fee,Discount Funded by you,Voucher Funded by you,Commission,Operational Charges,Ads Fee,Wait time fee,Marketing Fees,Avoidable cancellation fee,Is Payable,Is Paid,Estimated earnings,Cash amount already collected by you,Amount owed back to platform,Payout Amount,Platform-Funded Discount,Platform-Funded Voucher,Total Discount,Total Voucher,Tax Amount,Order Items
GULA - VAL - Calle Cadis,101639366833,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-01 14:41,N,,,,,39.70,0.00,0.00,0.00,0.00,0.00,1.58,0.00,9.57,0.00,7.53,0.00,0.00,0.00,,0.00,,,21.02,0.00,0.00,21.02,0.00,0.00,9.57,0.00,0.00,"1 Pleasure For 2 Combo [1 Burger BBK, 1 Burger The Trufa Corp Chicken, 1 Fritas bacon queso, 1 Coca-Cola Sabor Original lata 330ml., 1 Fanta Naranja lata 330ml., 1 Extra: Tarta de Lotus]"
GULA - VAL - Calle Cadis,101639893737,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-01 21:04,N,,,,,33.90,0.00,0.00,0.00,0.00,0.00,1.28,0.00,9.57,0.00,6.08,0.00,0.00,0.00,,0.00,,,16.97,0.00,0.00,16.97,0.00,0.00,9.57,0.00,0.00,"1 Pleasure For 2 Combo [1 Gula Cheeseburger, 1 Burger The Trufa Corp, 1 Fritas trufadas, 2 Coca-Cola Zero Azúcar lata 330ml.]"
GULA - VAL - Calle Cadis,101639899284,923697,Platform delivery,Online,SINGLE-1,Y,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-01 21:05,N,,,,,33.90,0.00,0.00,0.00,0.00,0.00,1.40,0.00,9.57,0.00,6.08,0.00,0.00,0.00,Prime Order Fee: 0.55,0.00,,,16.30,0.00,0.00,16.30,0.00,0.00,9.57,0.00,0.00,"1 Pleasure For 2 Combo [1 Gula Cheeseburger, 1 Burger The Trufa Corp, 1 Nuestras fritas, 2 Coca-Cola Zero Azúcar lata 330ml.]"
GULA - VAL - Calle Cadis,101640070769,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-01 22:58,N,,,,,29.20,0.00,0.00,0.00,0.00,0.00,1.53,0.00,0.00,0.00,7.30,0.00,0.00,0.00,,0.00,,,20.37,0.00,0.00,20.37,0.00,0.00,0.00,0.00,0.00,"1 GULA Cheeseburger [1 Sin Extras], 1 The Sinner, 1 Nuestras Fritas"
GULA - VAL - Calle Cadis,101640084813,923697,Platform delivery,Online,SINGLE-1,Y,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-01 23:08,N,,,,,16.70,0.00,0.00,0.00,0.00,0.00,0.74,0.00,5.01,0.00,2.92,0.00,0.00,0.00,Prime Order Fee: 0.55,0.00,,,7.48,0.00,0.00,7.48,0.00,0.00,5.01,0.00,0.00,"1 Cheese Bacon, 1 Coca-Cola Zero Azúcar Lata 330Ml."
GULA - VAL - Calle Cadis,101640483258,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-02 15:00,N,,,,,41.70,0.00,0.00,0.00,0.00,0.00,1.68,0.00,9.57,0.00,8.03,0.00,0.00,0.00,,0.00,,,22.42,0.00,0.00,22.42,0.00,0.00,9.57,0.00,0.00,"1 Pleasure For 2 Combo [1 Burger Spicy V, 1 Burger The Sinner, 1 Fritas buffalo ranch, 2 Coca-Cola Sabor Original lata 330ml., 1 Extra: Tarta de Lotus]"
GULA - VAL - Calle Cadis,101640508641,923697,Platform delivery,Cash,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-02 15:18,N,,,,,20.70,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.00,0.00,5.18,0.00,0.00,0.00,,0.00,,,14.44,0.00,0.00,14.44,0.00,0.00,0.00,0.00,0.00,"1 The Sinner Combo [1 Gula Cheeseburger, 1 Fuze Tea Limón Sabor Original Lata 330ml, 1 Extra: Tarta de Lotus]"
GULA - VAL - Calle Cadis,101640797997,923697,Platform delivery,Online,SINGLE-1,Y,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-02 19:56,N,,,,,21.70,0.00,0.00,0.00,0.00,0.00,1.26,0.00,0.00,0.00,5.43,0.00,0.00,0.00,Prime Order Fee: 0.55,0.00,,,14.46,0.00,0.00,14.46,0.00,0.00,0.00,0.00,0.00,"1 The Sinner Combo [1 Burger The Trufa Corp Chicken, 1 Coca-Cola Sabor Original lata 330ml.], 1 Brownie"
GULA - VAL - Calle Cadis,101640879242,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-02 20:30,N,,,,,32.90,0.00,0.00,0.00,0.00,0.00,1.22,0.00,9.57,0.00,5.83,0.00,0.00,0.00,,0.00,,,16.28,0.00,0.00,16.28,0.00,0.00,9.57,0.00,0.00,"1 Pleasure For 2 Combo [1 Gula Cheeseburger, 1 Burger Buffalo Ranch, 1 Fritas bacon queso, 2 Agua Cabreiroa (330 ml.)]"
GULA - VAL - Calle Cadis,101640912440,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-02 20:50,N,,,,,20.40,0.00,0.00,0.00,0.00,0.00,0.75,0.00,6.12,0.00,3.57,0.00,0.00,0.00,,0.00,,,9.96,0.00,0.00,9.96,0.00,0.00,6.12,0.00,0.00,"1 Cheese Bacon, 1 Fritas Trufadas"
GULA - VAL - Calle Cadis,101640958181,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-02 21:10,N,,,,,34.90,0.00,0.00,0.00,0.00,0.00,1.33,0.00,9.57,0.00,6.33,0.00,0.00,0.00,,0.00,,,17.67,0.00,0.00,17.67,0.00,0.00,9.57,0.00,0.00,"1 Pleasure For 2 Combo [1 Burger The Trufa Corp, 1 Burger BBK, 1 Fritas bacon queso, 1 Agua Cabreiroa (330 ml.), 1 Cerveza Estrella Galicia (330 ml.), 1 Sin Extras]"
GULA - VAL - Calle Cadis,101641024383,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-02 21:47,N,,,,,27.80,0.00,0.00,0.00,0.00,0.00,1.02,0.00,8.34,0.00,4.87,0.00,0.00,0.00,,0.00,,,13.57,0.00,0.00,13.57,0.00,0.00,8.34,0.00,0.00,2 Cheese Bacon
GULA - VAL - Calle Cadis,101641026839,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-02 22:02,N,,,,,21.90,0.00,0.00,0.00,0.00,0.00,1.15,0.00,0.00,0.00,5.48,0.00,0.00,0.00,,0.00,,,15.27,0.00,0.00,15.27,0.00,0.00,0.00,0.00,0.00,"1 The Golden Bite Combo [1 Gula Cheeseburger, 1 Fritas buffalo ranch, 1 Agua Cabreiroa (330 ml.)]"
GULA - VAL - Calle Cadis,101641028957,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-02 21:50,N,,,,,17.30,0.00,0.00,0.00,0.00,0.00,0.69,0.00,4.17,0.00,3.28,0.00,0.00,0.00,,0.00,,,9.16,0.00,0.00,9.16,0.00,0.00,4.17,0.00,0.00,"1 Cheese Bacon, 1 Nuestras Fritas"
GULA - VAL - Calle Cadis,101641047677,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-02 22:04,N,,,,,31.90,0.00,0.00,0.00,0.00,0.00,1.17,0.00,9.57,0.00,5.58,0.00,0.00,2.50,,0.00,,,13.08,0.00,0.00,13.08,0.00,0.00,9.57,0.00,0.00,"1 Pleasure For 2 Combo [2 Gula Cheeseburger, 1 Fritas trufadas, 2 Fuze Tea Limón Sabor Original Lata 330ml]"
