Dish,Total,Sales
Fritas Bacon Queso,9,61.30
The Pope's Burger,8,103.20
The Trufa Corp,8,119.20
BBK,7,97.30
The Sinner Combo,6,102.30
Cheese Bacon V,5,69.50
Nuestras Fritas,5,17.00
Cheesecake de fresa,3,17.40
Spicy V,3,41.70
Pleasure For 2 Combo ,2,77.20
Buffalo Ranch,2,27.80
Gula Cheeseburger,2,36.80
Fritas Buffalo Ranch,1,7.50
Fritas Trufadas,1,6.50
Tarta de Oreo,1,5.80
Cheese Bacon V ,1,13.90
The Golden Bite Combo,1,20.90
Golden Slider,1,7.90
Alitas BBK,1,8.50
Cheese Jr.,1,6.95
The Sinner,1,13.90
