Dish,Total,Sales
The Sinner Combo,19,322.40
Pleasure For 2 Combo,17,590.70
Cheese Bacon,11,152.90
Fritas Trufadas,7,45.50
Nuestras Fritas,4,13.60
The Golden Bite Combo,4,87.60
GULA Cheeseburger,3,35.70
Coca-Cola Zero Azúcar Lata 330Ml.,3,8.40
Fritas Bacon Queso,3,19.50
Salsa Bacon,2,3.60
The Trufa Corp,2,29.80
The Sinner,2,27.80
Pollo Frito Al Estilo GULA,2,21.60
Brownie,1,5.80
Spicy V,1,13.90
BBK,1,13.90
Fritas Buffalo Ranch,1,7.50
The Trufa Corp Chicken,1,13.90
Salsa GULA,1,1.80
Golden Slider,1,7.90
Cheese Jr.,1,6.95
Pleasure For 2 Combo ,1,41.70
