Item,Sales,Sales %Δ,Items Sold,Items Sold %Δ,Currency Code
Pleasure for 2,629.9,,18,,EUR
The Trufa Corp,170.5,,10,,EUR
Cheese Bacon,108.7,,7,,EUR
The Trufa Corp Chicken,96.4,,6,,EUR
Gula Cheeseburger,90.9,,6,,EUR
The Sinner Combo,82,,5,,EUR
Fritas Bacon Queso,45.5,,7,,EUR
Spicy V,29.3,,2,,EUR
Alitas BBK,28.3,,3,,EUR
The Pope' s Burger,27.8,,2,,EUR
Nuestras Fritas,23.799999999999997,,7,,EUR
Fritas Trufadas,19.5,,3,,EUR
GOLDEN SLIDER,17.4,,2,,EUR
BBK,13.9,,1,,EUR
The Sinner,13.9,,1,,EUR
Cheesecake  con dulce de leche y galleta Lotus,13,,2,,EUR
Pollo frito al estilo GULA,9.9,,1,,EUR
Fritas Buffalo Ranch,7.5,,1,,EUR
Salsa Trufada,3.6,,2,,EUR
Fanta Naranja lata 330ml.,2.8,,1,,EUR
Agua 50cl,2,,1,,EUR
Coca-Cola Zero Azúcar lata 330ml.,0,,3,,EUR
