Campaign UUID,Offer type,Status,Start date,End date,Stores,Audience,Sales (EUR),New customers,Orders,Uber funding (%),Items
a60803f8-0bef-44a7-91b1-c12a52d22053,"€0 Delivery Fee",ACTIVE,"May 10, 2026","May 9, 2027",1,"All customers","€148",4,5,0,""
e3db9423-a0cc-4aae-be21-272f09c75582,"Buy 1, Get 1 Free",ACTIVE,"May 10, 2026","May 9, 2027",1,"All customers","€0",0,0,0,""
870f34af-3bac-476a-a602-8671944ca2dd,"Save on Menu Items",ACTIVE,"May 2, 2026","May 1, 2027",1,"All customers","€969",21,28,0,"Cheese Bacon;Fritas Bacon Queso;Pleasure for 2;The Trufa Corp;The Trufa Corp Chicken;Alitas BBK"
79823a36-d4e5-4e58-82f8-e2ee3c090f50,"Save on Menu Items",CANCELED,"May 2, 2026","May 1, 2027",1,"All customers","€44",1,1,0,"Spicy V;The Trufa Corp"
7f511f4c-8624-4f2e-8293-2edcf82d91ec,"Save on Menu Items",CANCELED,"May 1, 2026","Apr 30, 2027",1,"All customers","€0",0,0,0,""
efdebcdc-dcc0-44f9-9f45-8acbb189319c,"Save on Menu Items",CANCELED,"May 1, 2026","Apr 30, 2027",1,"All customers","€144",1,3,0,"Fritas Trufadas;Spicy V;The Pope' s Burger;The Trufa Corp;The Trufa Corp Chicken"
0b49366f-ca22-4eec-b3b9-bef5446be7c6,"Buy 1, Get 1 Free",CANCELED,"Feb 27, 2026","Feb 27, 2027",1,"All customers","€0",0,0,0,""
e2e9d303-5bf9-4759-8247-81386c93498d,"Save on Menu Items",CANCELED,"Feb 22, 2026","Feb 22, 2027",1,"All customers","€0",0,0,0,""
b4a283f0-a342-43b8-bc28-350b2d35fb7f,"Buy 1, Get 1 Free",CANCELED,"Feb 22, 2026","Feb 22, 2027",1,"All customers","€0",0,0,0,""
1f357c0d-e8bb-4d5a-816b-223edc59eb4b,"Save on Menu Items",CANCELED,"Feb 22, 2026","Feb 22, 2027",1,"All customers","€0",0,0,0,""
003a10ff-bff8-4c0e-8d84-4b0531e33ab3,"Save on Menu Items",CANCELED,"Feb 21, 2026","Feb 21, 2027",1,"All customers","€0",0,0,0,""
13ac6a5b-12e0-4e9e-a8bb-f7f56226ca58,"Buy 1, Get 1 Free",CANCELED,"Feb 19, 2026","Feb 19, 2027",1,"All customers","€0",0,0,0,""
d45f25ef-3713-48eb-8f11-1146427e14c4,"Save on Menu Items",CANCELED,"Feb 19, 2026","Feb 19, 2027",1,"All customers","€0",0,0,0,""
6100681a-8563-430a-95f6-5af08d9f80ec,"Save on Menu Items",CANCELED,"Feb 18, 2026","Feb 18, 2027",1,"All customers","€0",0,0,0,""
e5fd2523-e374-4b56-b437-135da88a703e,"Buy 1, Get 1 Free",CANCELED,"Feb 18, 2026","Feb 18, 2027",1,"All customers","€0",0,0,0,""
76cb996c-cf14-45c2-a880-0e70139900d9,"Save on Menu Items",CANCELED,"Feb 18, 2026","Feb 18, 2027",1,"All customers","€0",0,0,0,""
bb0cb010-3a44-46f5-810f-2fa0fb306c7e,"Buy 1, Get 1 Free",CANCELED,"Feb 8, 2026","Feb 8, 2027",1,"All customers","€0",0,0,0,""
e526866f-388d-401a-8a93-a8865b7f3c83,"Save on Menu Items",CANCELED,"Feb 8, 2026","Feb 8, 2027",1,"All customers","€0",0,0,0,""
34d2627d-2ede-4c69-8e13-38fbb6436a94,"Buy 1, Get 1 Free",CANCELED,"Feb 7, 2026","Feb 7, 2027",1,"All customers","€0",0,0,0,""
154e5b31-1c73-4b0b-9b56-61a8adfdaf28,"Save on Menu Items",CANCELED,"Feb 7, 2026","Feb 7, 2027",1,"All customers","€0",0,0,0,""
fea7e208-bc0a-4bc1-8628-27d744f05168,"Buy 1, Get 1 Free",CANCELED,"Feb 7, 2026","Feb 7, 2027",1,"All customers","€0",0,0,0,""
e82f959a-3a06-4877-8a46-8dc2016cc673,"Buy 1, Get 1 Free",CANCELED,"Feb 1, 2026","Feb 1, 2027",1,"All customers","€0",0,0,0,""
70a23f3a-3d3a-4278-9bd9-8b8a69cfe1dd,"Save on Menu Items",CANCELED,"Jan 24, 2026","Jan 24, 2027",1,"All customers","€0",0,0,0,""
