Period,Start Date,End Date,Time Increment,Sales by Pickup,Sales by Delivery,Sales,Orders by Pickup,Orders by Delivery,Orders,Ticket Size by Pickup,Ticket Size by Delivery,Ticket Size,Currency Code
Last period,2026-04-17 00:00:00.000,2026-04-18 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
Last period,2026-04-18 00:00:00.000,2026-04-19 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
Last period,2026-04-19 00:00:00.000,2026-04-20 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
Last period,2026-04-20 00:00:00.000,2026-04-21 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
Last period,2026-04-21 00:00:00.000,2026-04-22 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
Last period,2026-04-22 00:00:00.000,2026-04-23 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
Last period,2026-04-23 00:00:00.000,2026-04-24 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
Last period,2026-04-24 00:00:00.000,2026-04-25 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
Last period,2026-04-25 00:00:00.000,2026-04-26 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
Last period,2026-04-26 00:00:00.000,2026-04-27 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
Last period,2026-04-27 00:00:00.000,2026-04-28 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
This period,2026-05-01 00:00:00.000,2026-05-02 00:00:00.000,Day,0,153.7,153.7,0,5,5,0,30.74,30.74,EUR
This period,2026-05-02 00:00:00.000,2026-05-03 00:00:00.000,Day,0,153.8,153.8,0,4,4,0,38.45,38.45,EUR
This period,2026-05-03 00:00:00.000,2026-05-04 00:00:00.000,Day,0,231.8,231.8,0,7,7,0,33.114285714285714,33.114285714285714,EUR
This period,2026-05-04 00:00:00.000,2026-05-05 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
This period,2026-05-05 00:00:00.000,2026-05-06 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
This period,2026-05-06 00:00:00.000,2026-05-07 00:00:00.000,Day,0,269.4,269.4,0,6,6,0,44.9,44.9,EUR
This period,2026-05-07 00:00:00.000,2026-05-08 00:00:00.000,Day,0,192.8,192.8,0,5,5,0,38.56,38.56,EUR
This period,2026-05-08 00:00:00.000,2026-05-09 00:00:00.000,Day,0,30.3,30.3,0,1,1,0,30.3,30.3,EUR
This period,2026-05-09 00:00:00.000,2026-05-10 00:00:00.000,Day,0,156.8,156.8,0,5,5,0,31.360000000000003,31.360000000000003,EUR
This period,2026-05-10 00:00:00.000,2026-05-11 00:00:00.000,Day,0,284.3,284.3,0,8,8,0,35.5375,35.5375,EUR
This period,2026-05-11 00:00:00.000,2026-05-12 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
