Day,Hour,Sales,% of Total Sales,Orders,% of Total Orders,Ticket Size,Currency Code
Wed,21,120.9,8.21,3,7.32,40.300000000000004,EUR
Wed,22,148.5,10.08,3,7.32,49.5,EUR
Thu,15,33.9,2.3,1,2.44,33.9,EUR
Thu,21,122.8,8.34,2,4.88,61.4,EUR
Thu,22,36.1,2.45,2,4.88,18.05,EUR
Fri,14,62.2,4.22,2,4.88,31.1,EUR
Fri,15,121.8,8.27,4,9.76,30.45,EUR
Sat,14,26.9,1.83,1,2.44,26.9,EUR
Sat,16,43.6,2.96,1,2.44,43.6,EUR
Sat,17,13.9,0.94,1,2.44,13.9,EUR
Sat,20,69,4.68,2,4.88,34.5,EUR
Sat,21,47,3.19,1,2.44,47,EUR
Sat,22,35.9,2.44,1,2.44,35.9,EUR
Sat,23,40.4,2.74,1,2.44,40.4,EUR
Sun,14,56.7,3.85,1,2.44,56.7,EUR
Sun,15,70.7,4.8,3,7.32,23.566666666666666,EUR
Sun,18,36.2,2.46,1,2.44,36.2,EUR
Sun,19,17.3,1.17,1,2.44,17.3,EUR
Sun,21,197.8,13.43,5,12.2,39.56,EUR
Sun,22,75.3,5.11,2,4.88,37.65,EUR
Sun,23,62.1,4.22,2,4.88,31.05,EUR
