Item,Sales,Sales %Δ,Items Sold,Items Sold %Δ,Currency Code
Gula Cheeseburger,494.6,21.28,37,15.63,EUR
Pleasure for 2,347.6,-31.98,10,-33.33,EUR
The Sinner Combo,193.40000000000003,-54.76,12,-53.85,EUR
Nuestras Fritas,51,25,15,25,EUR
Cheesecake de Fresa,40.6,,7,,EUR
GOLDEN SLIDER,33.39,-70,3,-70,EUR
Fritas Buffalo Ranch,31.8,-57.6,4,-60,EUR
Cheese Bacon,27.8,-50,2,-50,EUR
The Golden Bite,27.13,10.15,1,0,EUR
Fritas Trufadas,19.5,50,3,50,EUR
The Trufa Corp,14.9,-66.67,1,-66.67,EUR
The Trufa Corp Chicken,13.9,,1,,EUR
BBK,13.9,-53.04,1,-50,EUR
The Sinner,13.9,-66.67,1,-66.67,EUR
Fritas Bacon Queso,13,-60,2,-60,EUR
The Pope's Burger,12.9,-66.67,1,-66.67,EUR
Pollo frito al estilo GULA,9.9,-75.19,1,-75,EUR
Alitas BBK,9,5.88,1,0,EUR
Salsa GULA,3.6,100,2,100,EUR
Fuze Tea Limón Original lata 330ml.,2.8,,1,,EUR
Coca-Cola Zero Azúcar lata 330ml.,2.8,,1,,EUR
Salsa Chile Chipotle,1.5,0,1,0,EUR
