Period,Start Date,End Date,Time Increment,Sales by Pickup,Sales by Delivery,Sales,Orders by Pickup,Orders by Delivery,Orders,Ticket Size by Pickup,Ticket Size by Delivery,Ticket Size,Currency Code
Last period,2026-04-17 00:00:00.000,2026-04-18 00:00:00.000,Day,0,356.13,356.13,0,9,9,0,39.57,39.57,EUR
Last period,2026-04-18 00:00:00.000,2026-04-19 00:00:00.000,Day,0,312.23,312.23,0,11,11,0,28.384545454545457,28.384545454545457,EUR
Last period,2026-04-19 00:00:00.000,2026-04-20 00:00:00.000,Day,0,262.69,262.69,0,9,9,0,29.18777777777778,29.18777777777778,EUR
Last period,2026-04-20 00:00:00.000,2026-04-21 00:00:00.000,Day,0,113.8,113.8,0,3,3,0,37.93333333333333,37.93333333333333,EUR
Last period,2026-04-21 00:00:00.000,2026-04-22 00:00:00.000,Day,11.9,18.3,30.2,1,1,2,11.9,18.3,15.1,EUR
Last period,2026-04-22 00:00:00.000,2026-04-23 00:00:00.000,Day,0,21.8,21.8,0,1,1,0,21.8,21.8,EUR
Last period,2026-04-23 00:00:00.000,2026-04-24 00:00:00.000,Day,0,57.8,57.8,0,2,2,0,28.9,28.9,EUR
Last period,2026-04-24 00:00:00.000,2026-04-25 00:00:00.000,Day,0,217.33,217.33,0,6,6,0,36.22166666666667,36.22166666666667,EUR
Last period,2026-04-25 00:00:00.000,2026-04-26 00:00:00.000,Day,0,477.22,477.22,0,13,13,0,36.70923076923077,36.70923076923077,EUR
Last period,2026-04-26 00:00:00.000,2026-04-27 00:00:00.000,Day,0,187.73,187.73,0,7,7,0,26.818571428571428,26.818571428571428,EUR
Last period,2026-04-27 00:00:00.000,2026-04-28 00:00:00.000,Day,0,84.2,84.2,0,3,3,0,28.066666666666666,28.066666666666666,EUR
This period,2026-05-01 00:00:00.000,2026-05-02 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
This period,2026-05-02 00:00:00.000,2026-05-03 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
This period,2026-05-03 00:00:00.000,2026-05-04 00:00:00.000,Day,0,242.46,242.46,0,8,8,0,30.3075,30.3075,EUR
This period,2026-05-04 00:00:00.000,2026-05-05 00:00:00.000,Day,0,54.1,54.1,0,2,2,0,27.05,27.05,EUR
This period,2026-05-05 00:00:00.000,2026-05-06 00:00:00.000,Day,15.3,35.4,50.7,1,1,2,15.3,35.4,25.35,EUR
This period,2026-05-06 00:00:00.000,2026-05-07 00:00:00.000,Day,0,103.9,103.9,0,3,3,0,34.63333333333333,34.63333333333333,EUR
This period,2026-05-07 00:00:00.000,2026-05-08 00:00:00.000,Day,0,101.5,101.5,0,5,5,0,20.3,20.3,EUR
This period,2026-05-08 00:00:00.000,2026-05-09 00:00:00.000,Day,0,165.23,165.23,0,7,7,0,23.604285714285712,23.604285714285712,EUR
This period,2026-05-09 00:00:00.000,2026-05-10 00:00:00.000,Day,0,265.63,265.63,0,9,9,0,29.514444444444443,29.514444444444443,EUR
This period,2026-05-10 00:00:00.000,2026-05-11 00:00:00.000,Day,0,422.6,422.6,0,13,13,0,32.50769230769231,32.50769230769231,EUR
This period,2026-05-11 00:00:00.000,2026-05-12 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
