Day,Hour,Sales,% of Total Sales,Orders,% of Total Orders,Ticket Size,Currency Code
Mon,20,30.3,2.15,1,2.04,30.3,EUR
Mon,21,23.8,1.69,1,2.04,23.8,EUR
Tue,20,15.3,1.09,1,2.04,15.3,EUR
Tue,22,35.4,2.52,1,2.04,35.4,EUR
Wed,21,70.3,5,2,4.08,35.15,EUR
Wed,23,33.6,2.39,1,2.04,33.6,EUR
Thu,20,15.3,1.09,1,2.04,15.3,EUR
Thu,21,15.3,1.09,1,2.04,15.3,EUR
Thu,22,52.8,3.76,2,4.08,26.4,EUR
Thu,23,18.1,1.29,1,2.04,18.1,EUR
Fri,20,18.4,1.31,1,2.04,18.4,EUR
Fri,21,17.63,1.25,1,2.04,17.63,EUR
Fri,22,57.2,4.07,2,4.08,28.6,EUR
Fri,23,72,5.12,3,6.12,24,EUR
Sat,13,53,3.77,2,4.08,26.5,EUR
Sat,14,65,4.62,2,4.08,32.5,EUR
Sat,21,21.2,1.51,1,2.04,21.2,EUR
Sat,22,99.23,7.06,3,6.12,33.07666666666667,EUR
Sat,23,27.2,1.93,1,2.04,27.2,EUR
Sun,14,15.3,1.09,1,2.04,15.3,EUR
Sun,15,100.6,7.15,3,6.12,33.53333333333333,EUR
Sun,20,58.9,4.19,1,2.04,58.9,EUR
Sun,21,208.83,14.85,6,12.24,34.805,EUR
Sun,22,218.93,15.57,7,14.29,31.275714285714287,EUR
Sun,23,50.6,3.6,2,4.08,25.3,EUR
