Order ID,Workflow ID,Store Name,Store ID,Shop ID,Order Date,Order Accept Time,Dining Mode,Payment Mode,Order Channel,Item Name,External ID ,External Data,Item Priced By,Unit Sold By,Estimated Average Weight,Requested Weight,Final Weight,Requested Count,Final Count,Requested Quantity,Final Quantity,Unit price,Customer Uber-Membership Status,Sales (excl. VAT),VAT1 on Sales,VAT2 on Sales,VAT3 on Sales,Sales (incl. VAT),Order Error Adjustments (excl. VAT),VAT 1 on order error adjustments,VAT 2 on order error adjustments,VAT 3 on order error adjustments,Order Error Adjustments (incl. VAT),Offers on items (excl. VAT),VAT 1 on offers on items,VAT 2 on offers on items,VAT 3 on offers on items,Offers on items (incl. VAT),Offer Redemption Fee,VAT On Offer Redemption Fee,Marketing Adjustment (incl. VAT),Meal Voucher,Meal Voucher provider,Price Adjustments (excl. VAT),VAT on Price Adjustments,Price Adjustments (incl. VAT),Delivery Fee (excl VAT),VAT1 on Delivery Fee,VAT2 on Delivery Fee,VAT3 on Delivery Fee,Delivery Fee (incl VAT),Pick and Pack Fee,VAT On Pick And Pack Fee,Bag Fee,Delivery Offer Redemptions (excl. VAT),VAT on Delivery Offer Redemptions,Delivery Offer Redemptions (incl. VAT),Total Order (incl VAT),Merchant to Customer Invoice Link,Cost of Delivery (excl VAT),VAT on cost of delivery,Cost of Delivery (incl VAT),Courier to Merchant Invoice Link,Marketplace Fee before discount (excl VAT),Marketplace Fee discount (excl VAT),Marketplace Fee after discount (excl VAT),VAT on Marketplace fee after discount ,Marketplace Fee after discount (incl VAT),Uber to Merchant Invoice Link,VAT Adjustment,Profit on Delivery Fee,Tips,Other payments description,Other payments (incl VAT),Total payout ,Payout Date,Order Status,Retailer Loyalty ID,Payout reference ID
#3C8BC,1f7be2df-0c20-49e3-bb2f-c0eb45e3c8bc,GULA - Cartagena,,742103f3-6a55-5738-86dd-9901b0f26beb,5/1/26,2:12 PM,Delivery - Partner Using Uber App,Unknown,iOS,,,,,,,,,,,,,,Uber One member,38,0,3.8,0,41.8,0,0,0,0,0,-9.35,0,-0.94,0,-10.29,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.51,https://restaurant.uber.com/manager/payments/invoices/order/2916e278-bff9-5d83-a111-49895a5efa46?invoiceType=restaurant_to_customer,0,0,0,,-6.14,0,-6.14,-1.29,-7.43,https://restaurant.uber.com/manager/payments/download-invoice?invoiceUUID=d32b6d13-9ede-5beb-973f-c375e9594017,0,0,0,,0,24.08,5/4/26,Completed,,0A2KV5VLQ9BN
,1f7be2df-0c20-49e3-bb2f-c0eb45e3c8bc,,,742103f3-6a55-5738-86dd-9901b0f26beb,5/1/26,2:12 PM,Delivery - Partner Using Uber App,,iOS,Spicy V,Que_Chille,,Count,Count,0,0,0,1,1,1,1,13.9,,12.64,0,1.26,0,13.9,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1f7be2df-0c20-49e3-bb2f-c0eb45e3c8bc,,,742103f3-6a55-5738-86dd-9901b0f26beb,5/1/26,2:12 PM,Delivery - Partner Using Uber App,,iOS,Fritas Buffalo Ranch,Fritas_Buffalo_Ranch,,Count,Count,0,0,0,1,1,1,1,7.5,,6.81,0,0.69,0,7.5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1f7be2df-0c20-49e3-bb2f-c0eb45e3c8bc,,,742103f3-6a55-5738-86dd-9901b0f26beb,5/1/26,2:12 PM,Delivery - Partner Using Uber App,,iOS,The Trufa Corp Chicken,The_Trufada_Corp_Chi,,Count,Count,0,0,0,1,1,1,1,13.9,,12.64,0,1.26,0,13.9,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1f7be2df-0c20-49e3-bb2f-c0eb45e3c8bc,,,742103f3-6a55-5738-86dd-9901b0f26beb,5/1/26,2:12 PM,Delivery - Partner Using Uber App,,iOS,Fritas Trufadas,Fritas_Trufadas,,Count,Count,0,0,0,1,1,1,1,6.5,,5.91,0,0.59,0,6.5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AA50A,8a2a5996-5b70-4c7e-be56-d7bb312aa50a,GULA - Cartagena,,742103f3-6a55-5738-86dd-9901b0f26beb,5/1/26,1:49 PM,Delivery - Partner Using Uber App,Unknown,iOS,,,,,,,,,,,,,,Uber One member,18.55,0,1.85,0,20.4,0,0,0,0,0,-5.57,0,-0.55,0,-6.12,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28,https://restaurant.uber.com/manager/payments/invoices/order/e9853e55-bb68-5b67-9ed3-009f77ba0485?invoiceType=restaurant_to_customer,0,0,0,,-2.78,0,-2.78,-0.58,-3.36,https://restaurant.uber.com/manager/payments/download-invoice?invoiceUUID=d32b6d13-9ede-5beb-973f-c375e9594017,0,0,0,,0,10.92,5/4/26,Completed,,0A2KV5VLQ9BN
,8a2a5996-5b70-4c7e-be56-d7bb312aa50a,,,742103f3-6a55-5738-86dd-9901b0f26beb,5/1/26,1:49 PM,Delivery - Partner Using Uber App,,iOS,Fritas Trufadas,Fritas_Trufadas,,Count,Count,0,0,0,1,1,1,1,6.5,,5.91,0,0.59,0,6.5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8a2a5996-5b70-4c7e-be56-d7bb312aa50a,,,742103f3-6a55-5738-86dd-9901b0f26beb,5/1/26,1:49 PM,Delivery - Partner Using Uber App,,iOS,The Pope' s Burger,The_Pope'_s_Burger,,Count,Count,0,0,0,1,1,1,1,13.9,,12.64,0,1.26,0,13.9,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#F69C1,4f380e4a-4bca-4608-a7b6-e17869df69c1,GULA - Cartagena,,742103f3-6a55-5738-86dd-9901b0f26beb,5/1/26,2:05 PM,Delivery - Partner Using Uber App,Unknown,Unknown,,,,,,,,,,,,,,Non-member,30.73,0,3.07,0,33.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8,https://restaurant.uber.com/manager/payments/invoices/order/bd91fe02-f5ac-5384-aee5-fb76a1d0fbb9?invoiceType=restaurant_to_customer,0,0,0,,-6.08,0,-6.08,-1.28,-7.36,https://restaurant.uber.com/manager/payments/download-invoice?invoiceUUID=d32b6d13-9ede-5beb-973f-c375e9594017,0,0,0,,0,26.44,5/4/26,Completed,,0A2KV5VLQ9BN
,4f380e4a-4bca-4608-a7b6-e17869df69c1,,,742103f3-6a55-5738-86dd-9901b0f26beb,5/1/26,2:05 PM,Delivery - Partner Using Uber App,,Unknown,The Sinner Combo,The_Sinner_Combo,,Count,Count,0,0,0,1,1,1,1,14.9,,15.36,0,1.54,0,16.9,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
