Item,Sales,Sales %Δ,Items Sold,Items Sold %Δ,Currency Code
Pleasure for 2,325.49999999999994,-68.23,9,-67.86,EUR
The Trufa Corp,238.4,-4.18,16,0,EUR
Sin City Combo,69,-52.54,1,-50,EUR
Fritas Buffalo Ranch,67.5,-35.71,9,-35.71,EUR
CheeseBacon,55.6,100,4,100,EUR
The Sinner Combo,47.699999999999996,-46.52,3,-25,EUR
Buffalo Ranch,27.8,0,2,0,EUR
The Trufa Corp Chicken,27.8,,2,,EUR
Nuestras Fritas,17,97.67,5,150,EUR
The Pope' s Burger,13.9,,1,,EUR
Gula Cheeseburger,13.7,-42.44,1,-50,EUR
Fritas Trufadas,13,,2,,EUR
Fritas Bacon Queso,13,0,2,0,EUR
GOLDEN SLIDER,8.7,-21.62,1,0,EUR
Cerveza Estrella Galicia 1906,5.6,100,2,100,EUR
Salsa GULA,3.6,,2,,EUR
Coca-Cola Sabor Original lata 330ml.,2.8,,1,,EUR
