Campaign UUID,Offer type,Status,Start date,End date,Stores,Audience,Sales (EUR),New customers,Orders,Uber funding (%),Items
35525598-6acc-48e5-922e-d04330c48418,"Save on Menu Items",ACTIVE,"Apr 10, 2026","Apr 9, 2027",1,"All customers","€635",15,18,0,"Fritas Buffalo Ranch;Pleasure for 2;Sin City Combo"
1e5f8abc-401a-4fd9-b520-d03a81e8eafc,"Buy 1, get a free item",ACTIVE,"Mar 26, 2026","Mar 25, 2027",1,"All customers","€40",1,1,0,"Cerveza Estrella Galicia 1906"
ee1d1d11-a1f5-4385-9377-cf2f4a1b553f,"Save on Menu Items",ACTIVE,"Mar 26, 2026","Mar 25, 2027",1,"All customers","€317",8,12,0,"The Trufa Corp"
9df21a8e-2ab1-418e-b651-e45308b57345,"€0 Delivery Fee",CANCELED,"Mar 26, 2026","Mar 25, 2027",1,"All customers","€0",0,0,0,""
6ce6bbf5-46fc-4935-ab37-2304c821a1a6,"Buy 1, get a free item",CANCELED,"Mar 26, 2026","Mar 25, 2027",1,"All customers","€0",0,0,0,""
9f67874a-3832-4cfa-bdf4-c5321bed3dda,"Free Item (Spend 25)",CANCELED,"Mar 26, 2026","Mar 25, 2027",1,"All customers","€0",0,0,0,""
a9a3e31b-e974-4182-aa4e-785b75f3adce,"Save on Menu Items",CANCELED,"Mar 10, 2026","Mar 9, 2027",1,"All customers","€0",0,0,0,""
2cef2709-a9ac-48cb-95f7-7a8d52835315,"Buy 1, Get 1 Free",CANCELED,"Mar 10, 2026","Mar 9, 2027",1,"All customers","€0",0,0,0,""
d4492275-e597-4090-884f-ef8d64e1793e,"Buy 1, Get 1 Free",CANCELED,"Feb 27, 2026","Feb 27, 2027",1,"All customers","€0",0,0,0,""
988ec3fa-c641-46e3-b2fe-2c14f924f7a7,"Save on Menu Items",CANCELED,"Feb 27, 2026","Feb 27, 2027",1,"All customers","€0",0,0,0,""
3305f008-2569-4212-be97-6e6d022de9a0,"Free Item (Spend 25)",CANCELED,"Feb 27, 2026","Feb 27, 2027",1,"All customers","€0",0,0,0,""
f1bdff6b-19fd-4ec3-afef-afa354fc8c57,"Save on Menu Items",CANCELED,"Feb 27, 2026","Feb 27, 2027",1,"All customers","€0",0,0,0,""
f4c27131-0f9f-4dc3-9d08-41a80b9ba238,"€0 Delivery Fee",CANCELED,"Feb 22, 2026","Feb 22, 2027",1,"All customers","€0",0,0,0,""
8d0c4e1b-ab21-468a-8d72-d1373b31251a,"Save on Menu Items",CANCELED,"Feb 22, 2026","Feb 22, 2027",1,"All customers","€0",0,0,0,""
62510b75-82e3-4f35-8e9c-3cf6a90da115,"Buy 1, Get 1 Free",CANCELED,"Feb 15, 2026","Feb 15, 2027",1,"All customers","€0",0,0,0,""
383d9996-ca22-4d52-a9c9-a2d620744c63,"Buy 1, Get 1 Free",CANCELED,"Feb 14, 2026","Feb 14, 2027",1,"All customers","€0",0,0,0,""
b86df451-b3d0-4f56-9192-e343ce69f361,"Free Item (Spend 15)",CANCELED,"Feb 14, 2026","Feb 14, 2027",1,"All customers","€0",0,0,0,""
f351002c-6789-4094-b55f-24f0fe0df8f6,"Save on Menu Items",CANCELED,"Feb 14, 2026","Feb 14, 2027",1,"All customers","€0",0,0,0,""
db12b01b-12c3-4641-acf0-78da6d639a1e,"Save on Menu Items",CANCELED,"Feb 14, 2026","Feb 14, 2027",1,"All customers","€0",0,0,0,""
b544caa0-05e8-4849-b31d-a19b8044575a,"Buy 1, Get 1 Free",CANCELED,"Feb 14, 2026","Feb 14, 2027",1,"All customers","€0",0,0,0,""
6bb2a26d-6913-4eef-b2a4-a767e0bb9dbd,"Save on Menu Items",CANCELED,"May 2, 2025","May 2, 2026",1,"All customers","€0",0,0,0,""
