Period,Start Date,End Date,Time Increment,Sales by Pickup,Sales by Delivery,Sales,Orders by Pickup,Orders by Delivery,Orders,Ticket Size by Pickup,Ticket Size by Delivery,Ticket Size,Currency Code
Last period,2026-04-17 00:00:00.000,2026-04-18 00:00:00.000,Day,0,135.8,135.8,0,5,5,0,27.160000000000004,27.160000000000004,EUR
Last period,2026-04-18 00:00:00.000,2026-04-19 00:00:00.000,Day,0,21.4,21.4,0,1,1,0,21.4,21.4,EUR
Last period,2026-04-19 00:00:00.000,2026-04-20 00:00:00.000,Day,0,60.3,60.3,0,2,2,0,30.15,30.15,EUR
Last period,2026-04-20 00:00:00.000,2026-04-21 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
Last period,2026-04-21 00:00:00.000,2026-04-22 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
Last period,2026-04-22 00:00:00.000,2026-04-23 00:00:00.000,Day,72.8,392.2,465,1,11,12,72.8,35.654545454545456,38.75,EUR
Last period,2026-04-23 00:00:00.000,2026-04-24 00:00:00.000,Day,37.9,200.9,238.8,1,6,7,37.9,33.483333333333334,34.114285714285714,EUR
Last period,2026-04-24 00:00:00.000,2026-04-25 00:00:00.000,Day,35.9,94.6,130.5,1,3,4,35.9,31.53333333333333,32.625,EUR
Last period,2026-04-25 00:00:00.000,2026-04-26 00:00:00.000,Day,35.3,513.9,549.2,1,13,14,35.3,39.53076923076923,39.228571428571435,EUR
Last period,2026-04-26 00:00:00.000,2026-04-27 00:00:00.000,Day,0,149.5,149.5,0,4,4,0,37.375,37.375,EUR
Last period,2026-04-27 00:00:00.000,2026-04-28 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
This period,2026-05-01 00:00:00.000,2026-05-02 00:00:00.000,Day,0,92.2,92.2,0,3,3,0,30.733333333333334,30.733333333333334,EUR
This period,2026-05-02 00:00:00.000,2026-05-03 00:00:00.000,Day,0,22.4,22.4,0,1,1,0,22.4,22.4,EUR
This period,2026-05-03 00:00:00.000,2026-05-04 00:00:00.000,Day,69,93.7,162.7,1,3,4,69,31.233333333333334,40.675,EUR
This period,2026-05-04 00:00:00.000,2026-05-05 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
This period,2026-05-05 00:00:00.000,2026-05-06 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
This period,2026-05-06 00:00:00.000,2026-05-07 00:00:00.000,Day,0,93.4,93.4,0,3,3,0,31.133333333333336,31.133333333333336,EUR
This period,2026-05-07 00:00:00.000,2026-05-08 00:00:00.000,Day,0,35.6,35.6,0,1,1,0,35.6,35.6,EUR
This period,2026-05-08 00:00:00.000,2026-05-09 00:00:00.000,Day,35.3,36.3,71.6,1,1,2,35.3,36.3,35.8,EUR
This period,2026-05-09 00:00:00.000,2026-05-10 00:00:00.000,Day,35.9,180.9,216.8,1,6,7,35.9,30.150000000000002,30.97142857142857,EUR
This period,2026-05-10 00:00:00.000,2026-05-11 00:00:00.000,Day,29.8,226.1,255.9,1,7,8,29.8,32.3,31.9875,EUR
This period,2026-05-11 00:00:00.000,2026-05-12 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
