Day,Hour,Sales,% of Total Sales,Orders,% of Total Orders,Ticket Size,Currency Code
Wed,15,43.6,4.59,1,3.45,43.6,EUR
Wed,16,34.9,3.67,1,3.45,34.9,EUR
Wed,23,14.9,1.57,1,3.45,14.9,EUR
Thu,21,35.6,3.75,1,3.45,35.6,EUR
Fri,22,94.6,9.95,3,10.34,31.53333333333333,EUR
Fri,23,36.3,3.82,1,3.45,36.3,EUR
Sat,14,22.4,2.36,1,3.45,22.4,EUR
Sat,15,69,7.26,3,10.34,23,EUR
Sat,16,29.8,3.13,1,3.45,29.8,EUR
Sat,21,43.8,4.61,1,3.45,43.8,EUR
Sat,22,35.9,3.78,1,3.45,35.9,EUR
Sat,23,38.3,4.03,1,3.45,38.3,EUR
Sun,14,69,7.26,1,3.45,69,EUR
Sun,15,105.9,11.14,4,13.79,26.475,EUR
Sun,21,34.1,3.59,1,3.45,34.1,EUR
Sun,22,145.4,15.3,4,13.79,36.35,EUR
