Item,Sales,Sales %Δ,Items Sold,Items Sold %Δ,Currency Code
Pleasure for 2,623.1999999999999,-4.18,18,-5.26,EUR
The Sinner Combo,392.6,24.83,25,25,EUR
Tarta de Oreo,115.99999999999999,900,20,900,EUR
The Trufa Corp,89.4,200,6,200,EUR
Gula Cheeseburger,83.3,12.26,7,16.67,EUR
Cheese Bacon,69.5,-20.11,5,0,EUR
The Pope' s Burger,42.1,-79.15,3,-80,EUR
Nuestras Fritas,37.3,56.72,10,42.86,EUR
GOLDEN SLIDER,20.6,8.42,2,0,EUR
Pollo frito al estilo GULA,19.8,-66.67,2,-66.67,EUR
Cheesecake de Fresa,17.4,0,3,0,EUR
The Sinner,17.3,-37.77,1,-50,EUR
Fritas Buffalo Ranch,15,100,2,100,EUR
BBK,13.9,-50,1,-50,EUR
Fritas Trufadas,13,100,2,100,EUR
Fritas Bacon Queso,13,100,2,100,EUR
Brownie,11.6,,2,,EUR
Alitas BBK,8.5,-24.78,1,0,EUR
Salsa Chile Chipotle,4.5,,3,,EUR
Salsa Queen,3,,2,,EUR
Salsa GULA,1.8,,1,,EUR
Salsa Bacon,1.8,-50,1,-50,EUR
Ketchup GULA,1.5,,1,,EUR
Salsa BBK,1.5,,1,,EUR
