Campaign UUID,Offer type,Status,Start date,End date,Stores,Audience,Sales (EUR),New customers,Orders,Uber funding (%),Items
0cfbe567-8378-40c3-a1ae-4a2a4d7da00e,"Buy 1, get a free item",ACTIVE,"Apr 29, 2026","Apr 28, 2027",1,"All customers","€672",11,16,0,"Tarta de Oreo"
05834399-382b-437c-bf74-7a10fcc6b0ed,"Buy 1, get a free item",CANCELED,"Apr 24, 2026","Apr 23, 2027",1,"All customers","€0",0,0,0,""
dc2885a2-3f34-4069-ad10-315a11b20037,"Buy 1, get a free item",CANCELED,"Apr 24, 2026","Apr 23, 2027",1,"All customers","€0",0,0,0,""
cca2abc1-b766-4c9c-b1c1-b1778f9ef2e1,"Buy 1, Get 1 Free",CANCELED,"Apr 22, 2026","Apr 21, 2027",1,"All customers","€0",0,0,0,""
fc902446-3cfc-47b1-9ba9-6d6fd304e57b,"Buy 1, get a free item",CANCELED,"Apr 22, 2026","Apr 21, 2027",1,"All customers","€0",0,0,0,""
3ddde0fb-1b8b-4d3a-88d5-4d84ef4111b5,"Buy 1, get a free item",CANCELED,"Apr 16, 2026","Apr 15, 2027",1,"All customers","€0",0,0,0,""
7efbced0-5040-4dc1-b341-a5fc19a36009,"Buy 1, get a free item",CANCELED,"Mar 29, 2026","Mar 28, 2027",1,"All customers","€0",0,0,0,""
10e305ae-8608-4c02-8240-d0bad64b45c8,"Buy 1, get a free item",CANCELED,"Mar 22, 2026","Mar 21, 2027",1,"All customers","€0",0,0,0,""
d3fd9891-0c20-4d32-a45f-bd588cc25f2c,"Buy 1, get a free item",CANCELED,"Mar 9, 2026","Mar 8, 2027",1,"All customers","€0",0,0,0,""
11eacf9a-e492-4b26-8096-c3180b3c0505,"Buy 1, get a free item",CANCELED,"Mar 5, 2026","Mar 5, 2027",1,"All customers","€0",0,0,0,""
2fa22700-4196-40cb-83da-a32f0b9fa428,"Buy 1, get a free item",CANCELED,"Mar 3, 2026","Mar 3, 2027",1,"All customers","€0",0,0,0,""
612383af-5a94-46ff-8116-5b785709cbac,"Buy 1, get a free item",CANCELED,"Feb 20, 2026","Feb 20, 2027",1,"All customers","€0",0,0,0,""
d3b04087-213a-4ae6-ae93-3b116733d2ba,"Save on Menu Items",CANCELED,"Feb 8, 2026","Feb 8, 2027",1,"All customers","€0",0,0,0,""
989b3d19-2c72-4ac2-8711-bd62a61e4d3c,"Buy 1, get a free item",CANCELED,"Feb 8, 2026","Feb 8, 2027",1,"All customers","€0",0,0,0,""
4215f30f-a019-4a14-bd3c-6902ef98490d,"Save on Menu Items",CANCELED,"Jan 29, 2026","Jan 29, 2027",1,"All customers","€0",0,0,0,""
7a9a9dd1-f155-4ac7-8d8d-7d5dfc12851a,"Free Item (Spend 25)",CANCELED,"Jan 20, 2026","Jan 20, 2027",1,"All customers","€0",0,0,0,""
a7e92f67-3b72-464e-b97e-6a9084e6fefb,"Buy 1, get a free item",CANCELED,"Jan 13, 2026","Jan 13, 2027",1,"All customers","€0",0,0,0,""
8387e374-6977-4eec-a32d-40e0c1bb2519,"Save on Menu Items",CANCELED,"Dec 6, 2025","Dec 6, 2026",1,"All customers","€0",0,0,0,""
e1e732c5-d437-4001-93c4-dfc607bbeecf,"Save on Menu Items",CANCELED,"Nov 28, 2025","Nov 28, 2026",1,"All customers","€0",0,0,0,""
4e8f9f7e-a328-4655-a327-c93b5fe5b1ee,"Buy 1, get a free item",CANCELED,"Nov 14, 2025","Nov 14, 2026",1,"All customers","€0",0,0,0,""
b5586746-c884-4987-9115-67836a7f2271,"Buy 1, get a free item",CANCELED,"Nov 14, 2025","Nov 14, 2026",1,"All customers","€0",0,0,0,""
834d7054-35cc-437f-9643-acfaa0258e87,"Buy 1, get a free item",CANCELED,"Nov 12, 2025","Nov 12, 2026",1,"All customers","€0",0,0,0,""
29582e5b-e6b3-47e4-8bc3-57115661f7df,"Save on Menu Items",CANCELED,"Nov 11, 2025","Nov 11, 2026",1,"All customers","€0",0,0,0,""
4a1588a1-aa1e-4f4c-8261-fe93780644ee,"Save on Menu Items",CANCELED,"Nov 9, 2025","Nov 9, 2026",1,"All customers","€0",0,0,0,""
3af2e6f1-a098-4447-aab1-3aea047dfa09,"Save on Menu Items",CANCELED,"Nov 6, 2025","Nov 6, 2026",1,"All customers","€0",0,0,0,""
de81be26-6df8-455e-a9fe-bdcf63d0a88a,"Buy 1, get a free item",CANCELED,"Oct 28, 2025","Oct 28, 2026",1,"All customers","€0",0,0,0,""
38a75722-1b46-4447-ac6b-7e62088d520a,"20% off",CANCELED,"Oct 11, 2025","Oct 11, 2026",1,"All customers","€0",0,0,0,""
93fe3f67-0c61-4eea-912e-09c7d0b4965c,"Happy Hour: 25% off",CANCELED,"Oct 6, 2025","Oct 6, 2026",1,"All customers","€0",0,0,0,""
ce6c0aa1-578a-4bc7-9309-b908460b823f,"Save on Menu Items",CANCELED,"Jun 10, 2025","Jun 10, 2026",1,"All customers","€0",0,0,0,""
7afca91f-6336-47fe-959c-a0b5010f640e,"20% off",CANCELED,"May 13, 2025","May 13, 2026",1,"New customers only","€0",0,0,0,""
b61a1112-a5e7-4d7a-9356-a042c281a340,"Save on Menu Items",CANCELED,"May 9, 2025","May 9, 2026",1,"All customers","€0",0,0,0,""
62c731cc-a503-45f9-acaa-1c118f33b58f,"20% off, up to €70 ",CANCELED,"May 3, 2025","May 3, 2026",1,"All customers","€0",0,0,0,""
788be529-d077-4940-bbce-b7e87d53bfc5,"20% off",CANCELED,"May 3, 2025","May 3, 2026",1,"Uber One members only","€0",0,0,0,""
744726d9-3864-488f-a5a7-0bd917ad46a6,"Save on Menu Items",CANCELED,"May 3, 2025","May 3, 2026",1,"All customers","€0",0,0,0,""
6d0ca5a7-b50a-4572-97ad-7d7cab53b700,"Happy Hour: 30% off, up to €50 ",CANCELED,"May 3, 2025","May 3, 2026",1,"All customers","€0",0,0,0,""
6bb2a26d-6913-4eef-b2a4-a767e0bb9dbd,"Save on Menu Items",CANCELED,"May 2, 2025","May 2, 2026",1,"All customers","€0",0,0,0,""
db10fb78-f360-4ba0-b920-747ccc0530c8,"20% off",CANCELED,"May 1, 2025","May 1, 2026",1,"Uber One members only","€0",0,0,0,""
fb8558ab-c1db-43bb-a5bd-290b2435da58,"30% off, up to €70 ",CANCELED,"May 1, 2025","May 1, 2026",1,"New customers only","€0",0,0,0,""
ad6e0a7f-6c39-4cb4-b6f4-e489fdf6f0cb,"Buy 1, get a free item",CANCELED,"May 1, 2025","May 1, 2026",1,"All customers","€0",0,0,0,""
1693a2d6-9a2b-47d7-be8d-eac6ef9f32e2,"Buy 1, get a free item",CANCELED,"May 1, 2025","May 1, 2026",1,"All customers","€0",0,0,0,""
