Period,Start Date,End Date,Time Increment,Sales by Pickup,Sales by Delivery,Sales,Orders by Pickup,Orders by Delivery,Orders,Ticket Size by Pickup,Ticket Size by Delivery,Ticket Size,Currency Code
Last period,2026-04-17 00:00:00.000,2026-04-18 00:00:00.000,Day,9.5,163.9,173.4,1,5,6,9.5,32.78,28.900000000000002,EUR
Last period,2026-04-18 00:00:00.000,2026-04-19 00:00:00.000,Day,0,198.9,198.9,0,7,7,0,28.414285714285715,28.414285714285715,EUR
Last period,2026-04-19 00:00:00.000,2026-04-20 00:00:00.000,Day,17.3,454.5,471.8,1,12,13,17.3,37.875,36.292307692307695,EUR
Last period,2026-04-20 00:00:00.000,2026-04-21 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
Last period,2026-04-21 00:00:00.000,2026-04-22 00:00:00.000,Day,0,90.6,90.6,0,2,2,0,45.3,45.3,EUR
Last period,2026-04-22 00:00:00.000,2026-04-23 00:00:00.000,Day,0,104.7,104.7,0,3,3,0,34.9,34.9,EUR
Last period,2026-04-23 00:00:00.000,2026-04-24 00:00:00.000,Day,6.5,258.4,264.9,1,9,10,6.5,28.71111111111111,26.49,EUR
Last period,2026-04-24 00:00:00.000,2026-04-25 00:00:00.000,Day,0,67.5,67.5,0,3,3,0,22.5,22.5,EUR
Last period,2026-04-25 00:00:00.000,2026-04-26 00:00:00.000,Day,0,170.1,170.1,0,5,5,0,34.019999999999996,34.019999999999996,EUR
Last period,2026-04-26 00:00:00.000,2026-04-27 00:00:00.000,Day,0,189.8,189.8,0,6,6,0,31.633333333333336,31.633333333333336,EUR
Last period,2026-04-27 00:00:00.000,2026-04-28 00:00:00.000,Day,0,36.3,36.3,0,2,2,0,18.15,18.15,EUR
This period,2026-05-01 00:00:00.000,2026-05-02 00:00:00.000,Day,0,344.8,344.8,0,11,11,0,31.345454545454547,31.345454545454547,EUR
This period,2026-05-02 00:00:00.000,2026-05-03 00:00:00.000,Day,0,222,222,0,8,8,0,27.75,27.75,EUR
This period,2026-05-03 00:00:00.000,2026-05-04 00:00:00.000,Day,0,293.6,293.6,0,9,9,0,32.62222222222223,32.62222222222223,EUR
This period,2026-05-04 00:00:00.000,2026-05-05 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
This period,2026-05-05 00:00:00.000,2026-05-06 00:00:00.000,Day,0,33.6,33.6,0,2,2,0,16.8,16.8,EUR
This period,2026-05-06 00:00:00.000,2026-05-07 00:00:00.000,Day,0,49.1,49.1,0,2,2,0,24.55,24.55,EUR
This period,2026-05-07 00:00:00.000,2026-05-08 00:00:00.000,Day,0,98.8,98.8,0,3,3,0,32.93333333333333,32.93333333333333,EUR
This period,2026-05-08 00:00:00.000,2026-05-09 00:00:00.000,Day,0,125,125,0,4,4,0,31.25,31.25,EUR
This period,2026-05-09 00:00:00.000,2026-05-10 00:00:00.000,Day,44.4,253.9,298.3,2,8,10,22.2,31.7375,29.830000000000002,EUR
This period,2026-05-10 00:00:00.000,2026-05-11 00:00:00.000,Day,0,167.3,167.3,0,6,6,0,27.883333333333336,27.883333333333336,EUR
This period,2026-05-11 00:00:00.000,2026-05-12 00:00:00.000,Day,0,0,0,0,0,0,0,0,0,EUR
