Day,Hour,Sales,% of Total Sales,Orders,% of Total Orders,Ticket Size,Currency Code
Tue,21,19.7,1.21,1,1.82,19.7,EUR
Tue,22,13.9,0.85,1,1.82,13.9,EUR
Wed,22,49.1,3.01,2,3.64,24.55,EUR
Thu,21,39.7,2.43,1,1.82,39.7,EUR
Thu,22,59.1,3.62,2,3.64,29.55,EUR
Fri,13,61.5,3.77,2,3.64,30.75,EUR
Fri,14,29.8,1.83,2,3.64,14.9,EUR
Fri,20,34.7,2.13,1,1.82,34.7,EUR
Fri,21,117.2,7.18,3,5.45,39.06666666666667,EUR
Fri,22,67.5,4.13,2,3.64,33.75,EUR
Fri,23,35.9,2.2,1,1.82,35.9,EUR
Sat,0,29.3,1.79,2,3.64,14.65,EUR
Sat,13,3.4,0.21,1,1.82,3.4,EUR
Sat,14,15.9,0.97,1,1.82,15.9,EUR
Sat,15,14.9,0.91,1,1.82,14.9,EUR
Sat,20,38.7,2.37,1,1.82,38.7,EUR
Sat,21,122.8,7.52,4,7.27,30.7,EUR
Sat,22,147.3,9.02,4,7.27,36.825,EUR
Sat,23,54.6,3.34,2,3.64,27.3,EUR
Sun,0,72.1,4.42,3,5.45,24.03333333333333,EUR
Sun,14,14.9,0.91,1,1.82,14.9,EUR
Sun,20,67.5,4.13,1,1.82,67.5,EUR
Sun,21,58.6,3.59,2,3.64,29.3,EUR
Sun,22,78.4,4.8,3,5.45,26.133333333333336,EUR
Sun,23,62.8,3.85,2,3.64,31.4,EUR
