Referencia,Producto,Categoria,Formato Detectado,Unidad Base,Contenido por Unidad,Cantidad Total,Unidades Compradas,Coste Medio Sin IVA,Coste Medio Con IVA,Coste Medio por Unidad Base,Ultimo Coste Sin IVA,Ultimo Coste Con IVA,Ultimo Coste por Unidad Base,Coste Min Sin IVA,Coste Max Sin IVA,IVA %,Facturas,Ultima Fecha,Proveedor
08000201,ACEITE GOURMET GIRASOL 5L 0.2º,Alimentación,5 L,L,5,1.00,1.00,7.550,8.305,1.510,7.550,8.305,1.510,7.550,7.550,10.0,1,2026-04-16,Transgourmet Iberica S.A.U.
00044331,ACEITE KOIPESOL GIRASOL 1L 0.2º,Alimentación,1 L,L,1,2.00,2.00,2.350,2.585,2.350,2.350,2.585,2.350,2.350,2.350,10.0,1,2026-04-16,Transgourmet Iberica S.A.U.
00044308,ACEITE QUALITY GIRASOL 10L 0.2º,Alimentación,10 L,L,10,1.00,1.00,15.100,16.610,1.510,15.100,16.610,1.510,15.100,15.100,10.0,1,2026-04-29,Transgourmet Iberica S.A.U.
00205289,BEB.ENERG.POWERKING APPLE&MELO.25C,Alimentación,,UD,1,3.00,3.00,0.437,0.528,0.437,0.440,0.532,0.440,0.430,0.440,21.0,3,2026-04-30,Transgourmet Iberica S.A.U.
00221206,BOLSA CATERING C/ASA 26+20X27CM 50U,Alimentación,50 UD,UD,50,3.00,3.00,10.990,13.298,0.220,,,,10.990,10.990,,2,2026-05-13,Transgourmet Iberica S.A.U.
00219323,CAFE GOURMET INT.CAP.ALUM.20U,Alimentación,20 UD,UD,20,1.00,1.00,3.210,3.531,0.161,3.210,3.531,0.161,3.210,3.210,10.0,1,2026-04-30,Transgourmet Iberica S.A.U.
00210557,"CAJA BURGER CARTON 13X12,5X6 50U",Alimentación,50 UD,UD,50,3.00,3.00,6.890,8.337,0.138,6.890,8.337,0.138,6.890,6.890,21.0,3,2026-05-09,Transgourmet Iberica S.A.U.
00076427,"CAJA PURE BURGER BCA.15X14,4X8 25U",Alimentación,25 UD,UD,25,4.00,4.00,5.550,6.716,0.222,5.550,6.716,0.222,5.550,5.550,21.0,2,2026-05-09,Transgourmet Iberica S.A.U.
00094497,CEBOLLA DULCE GRANEL E/K,Alimentación,E/K,KG,1,1.00,1.08,1.470,1.529,1.470,1.470,1.529,1.470,1.470,1.470,4.0,1,2026-04-30,Transgourmet Iberica S.A.U.
00043433,CEBOLLA IBSA CARAME.FCO.950G,Alimentación,950 G,KG,0.95,5.00,5.00,6.150,6.765,6.474,6.150,6.765,6.474,6.150,6.150,10.0,3,2026-04-30,Transgourmet Iberica S.A.U.
00015550,"CEBOLLA IBSA CARAME.LATA 2,85K",Alimentación,2.85 KG,KG,2.85,1.00,1.00,19.390,21.329,6.804,19.390,21.329,6.804,19.390,19.390,10.0,1,2026-04-29,Transgourmet Iberica S.A.U.
00092319,CEBOLLINO BANDEJA P.U,Alimentación,P.U,UD,1,3.00,3.00,2.080,2.288,2.080,2.080,2.288,2.080,2.080,2.080,10.0,3,2026-05-13,Transgourmet Iberica S.A.U.
00061968,CHAMPU ELVIVE COLOR VIVE 400ML,Alimentación,400 ML,L,0.4,1.00,1.00,3.630,4.392,9.075,3.630,4.392,9.075,3.630,3.630,21.0,1,2026-05-08,Transgourmet Iberica S.A.U.
00039026,CHOCO.NESTLE CRUNCH 100G,Alimentación,100 G,KG,0.1,6.00,6.00,1.720,1.892,17.200,1.720,1.892,17.200,1.720,1.720,10.0,1,2026-05-09,Transgourmet Iberica S.A.U.
00030458,COCACOLA LATA 33CL,Alimentación,33 CL,L,0.33,28.00,28.00,0.640,0.774,1.939,0.640,0.774,1.939,0.640,0.640,21.0,3,2026-05-09,Transgourmet Iberica S.A.U.
00030437,COCACOLA ZERO LATA 33CL,Alimentación,33 CL,L,0.33,10.00,56.00,0.640,0.774,1.939,0.640,0.774,1.939,0.640,0.640,21.0,3,2026-05-09,Transgourmet Iberica S.A.U.
00221787,CREMA BORGES PISTACHO TOST.15% 1K,Alimentación,1 KG,KG,1,1.00,1.00,15.090,16.599,15.090,15.090,16.599,15.090,15.090,15.090,10.0,1,2026-04-30,Transgourmet Iberica S.A.U.
00025814,CREMA GOURMET CACAO AVE.1SAB.500G,Alimentación,500 G,KG,0.5,1.00,1.00,1.910,2.101,3.820,1.910,2.101,3.820,1.910,1.910,10.0,1,2026-05-09,Transgourmet Iberica S.A.U.
00016610,CREMA TRUFA BOVIS 500G,Alimentación,500 G,KG,0.5,2.00,2.00,22.725,24.998,45.450,22.960,25.256,45.920,22.490,22.960,10.0,2,2026-04-29,Transgourmet Iberica S.A.U.
00208239,CUCHARILLA MAD.11CM 100U,Alimentación,100 UD,UD,100,1.00,1.00,1.990,2.408,0.020,1.990,2.408,0.020,1.990,1.990,21.0,1,2026-05-02,Transgourmet Iberica S.A.U.
00006091,DESENGRAS. MICAL PISTOLA 750ML,Alimentación,750 ML,L,0.75,1.00,1.00,1.510,1.827,2.013,1.510,1.827,2.013,1.510,1.510,21.0,1,2026-05-09,Transgourmet Iberica S.A.U.
